@relation standardNominalData

@attribute checking_status {'<0', '>=200', '0<=X<200', 'no checking'}
@attribute credit_history {'all paid', 'critical/other existing credit', 'delayed previously', 'existing paid', 'no credits/all paid'}
@attribute purpose {'domestic appliance', 'new car', 'used car', business, education, furniture/equipment, other, radio/tv, repairs, retraining}
@attribute credit_amount {'<1000', '<5000', '<10000', '<100000', '>=100000'}
@attribute saving_status {'<100', '>=1000', '100<=X<500', '500<=X<1000', 'no known savings'}
@attribute employment {'<1', '>=7', '1<=X<4', '4<=X<7', unemployed}
@attribute personal_status {'female div/sep/mar', 'male div/sep', 'male mar/wid', 'male single'}
@attribute age {'child', 'young adult', 'adult', 'senior'}
@attribute job {'high qualif/self emp/mgmt', 'unemp/unskilled non res', 'unskilled resident', skilled}
@attribute class {good, bad}

@data
'<0','critical/other existing credit','new car',<5000,'<100','>=7','male single',senior,'unskilled resident',bad
'<0','existing paid','new car',<5000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
'<0','existing paid',radio/tv,<5000,'100<=X<500','1<=X<4','female div/sep/mar',adult,'unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,<5000,'no known savings','>=7','male single',adult,skilled,good
'<0','no credits/all paid',business,<10000,'no known savings','<1','male single',adult,skilled,good
'0<=X<200','existing paid','used car',<100000,'<100','>=7','female div/sep/mar',adult,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,<5000,'500<=X<1000','>=7','male single',adult,skilled,good
'no checking','critical/other existing credit','new car',<5000,'<100','1<=X<4','male single',adult,skilled,good
'<0','existing paid',radio/tv,<5000,'500<=X<1000','1<=X<4','male single',adult,skilled,good
'<0','critical/other existing credit','new car',<5000,'<100','<1','male single',adult,'unskilled resident',good
'0<=X<200','critical/other existing credit','used car',<5000,'100<=X<500','<1','male single',adult,skilled,good
'no checking','critical/other existing credit',furniture/equipment,<5000,'no known savings','1<=X<4','male mar/wid',adult,skilled,good
'<0','existing paid',furniture/equipment,<5000,'<100','1<=X<4','male single',child,'unskilled resident',good
'no checking','no credits/all paid',radio/tv,<1000,'<100','>=7','male mar/wid',adult,'unskilled resident',good
'>=200','all paid',radio/tv,<1000,'>=1000','1<=X<4','female div/sep/mar',adult,skilled,good
'0<=X<200','existing paid',radio/tv,<5000,'<100','1<=X<4','male single',adult,skilled,good
'<0','delayed previously',business,<10000,'<100','>=7','male single',senior,skilled,bad
'0<=X<200','existing paid',business,<5000,'>=1000','<1','male mar/wid',adult,skilled,good
'<0','existing paid',furniture/equipment,<5000,'<100','1<=X<4','male single',adult,skilled,good
'0<=X<200','existing paid','new car',<10000,'100<=X<500','1<=X<4','male single',adult,skilled,good
'no checking','critical/other existing credit',business,<5000,'no known savings','>=7','male single',adult,'unskilled resident',good
'>=200','existing paid',furniture/equipment,<5000,'<100','<1','female div/sep/mar',adult,'high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit',radio/tv,<5000,'<100','<1','male single',adult,'unskilled resident',bad
'no checking','critical/other existing credit',education,<10000,'<100','1<=X<4','male single',adult,skilled,good
'>=200','existing paid',radio/tv,<5000,'<100','1<=X<4','male single',adult,skilled,bad
'>=200','existing paid','domestic appliance',<5000,'<100','1<=X<4','male single',adult,skilled,good
'0<=X<200','existing paid',radio/tv,<1000,'<100','1<=X<4','male single',adult,skilled,good
'no checking','existing paid',radio/tv,<5000,'500<=X<1000','>=7','male single',adult,'high qualif/self emp/mgmt',good
'0<=X<200','existing paid',radio/tv,<5000,'500<=X<1000','1<=X<4','male div/sep',adult,skilled,good
'0<=X<200','delayed previously',repairs,<10000,'<100','1<=X<4','male single',adult,'unskilled resident',good
'<0','critical/other existing credit','used car',<10000,'100<=X<500','4<=X<7','male mar/wid',adult,skilled,good
'<0','critical/other existing credit','used car',<10000,'<100','>=7','female div/sep/mar',adult,'unskilled resident',bad
'no checking','critical/other existing credit','new car',<5000,'<100','<1','female div/sep/mar',adult,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,<5000,'500<=X<1000','>=7','male single',adult,skilled,good
'<0','existing paid','used car',<5000,'500<=X<1000',unemployed,'female div/sep/mar',adult,'unemp/unskilled non res',good
'no checking','critical/other existing credit','new car',<10000,'<100','1<=X<4','male single',adult,'unskilled resident',good
'no checking','existing paid',radio/tv,<5000,'100<=X<500','1<=X<4','female div/sep/mar',adult,skilled,good
'0<=X<200','delayed previously',furniture/equipment,<5000,'no known savings','<1','male single',adult,'unskilled resident',good
'0<=X<200','delayed previously','used car',<10000,'<100','>=7','male single',adult,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,<5000,'<100','1<=X<4','male single',adult,skilled,good
'no checking','existing paid','used car',<5000,'no known savings','1<=X<4','male single',child,skilled,good
'0<=X<200','delayed previously','new car',<5000,'<100','>=7','male single',adult,skilled,bad
'no checking','all paid','new car',<1000,'no known savings','1<=X<4','male single',adult,'unskilled resident',good
'0<=X<200','existing paid',radio/tv,<10000,'no known savings',unemployed,'male single',adult,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,<10000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
'>=200','existing paid','new car',<5000,'<100','>=7','female div/sep/mar',adult,'high qualif/self emp/mgmt',good
'<0','critical/other existing credit',furniture/equipment,<10000,'<100','<1','female div/sep/mar',adult,'unskilled resident',bad
'0<=X<200','existing paid',business,<5000,'<100','1<=X<4','male mar/wid',adult,skilled,good
'0<=X<200','critical/other existing credit',radio/tv,<5000,'no known savings','>=7','male single',adult,skilled,good
'0<=X<200','no credits/all paid',business,<5000,'<100','>=7','male single',senior,'high qualif/self emp/mgmt',bad
'0<=X<200','no credits/all paid',business,<100000,'<100','1<=X<4','male single',adult,skilled,bad
'no checking','existing paid',radio/tv,<5000,'<100','<1','female div/sep/mar',adult,skilled,good
'no checking','existing paid',repairs,<10000,'no known savings','>=7','male single',adult,skilled,good
'no checking','existing paid',radio/tv,<5000,'<100','<1','female div/sep/mar',adult,skilled,good
'0<=X<200','existing paid','new car',<5000,'>=1000','1<=X<4','male mar/wid',adult,skilled,good
'no checking','existing paid',education,<5000,'<100','1<=X<4','male single',adult,skilled,bad
'no checking','existing paid',radio/tv,<5000,'no known savings','1<=X<4','female div/sep/mar',adult,skilled,good
'no checking','existing paid','used car',<10000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,<1000,'no known savings','>=7','male single',adult,'unskilled resident',good
'<0','critical/other existing credit',other,<5000,'<100','>=7','male single',adult,'high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit',business,<10000,'<100','4<=X<7','female div/sep/mar',adult,'unskilled resident',good
'<0','existing paid',education,<5000,'no known savings','>=7','male single',adult,'high qualif/self emp/mgmt',bad
'<0','critical/other existing credit','used car',<5000,'<100','>=7','male single',senior,'high qualif/self emp/mgmt',good
'<0','existing paid',radio/tv,<5000,'<100','<1','male single',adult,skilled,bad
'0<=X<200','delayed previously',radio/tv,<5000,'<100','4<=X<7','male single',adult,skilled,good
'no checking','no credits/all paid','used car',<10000,'no known savings','1<=X<4','male single',adult,'unskilled resident',good
'0<=X<200','existing paid',furniture/equipment,<5000,'<100','<1','male mar/wid',adult,skilled,good
'no checking','existing paid',radio/tv,<10000,'no known savings','<1','female div/sep/mar',adult,skilled,bad
'no checking','existing paid',radio/tv,<5000,'500<=X<1000','>=7','male single',adult,skilled,good
'no checking','existing paid',business,<5000,'100<=X<500','1<=X<4','female div/sep/mar',adult,'unskilled resident',good
'<0','existing paid',other,<5000,'<100','>=7','female div/sep/mar',adult,'unskilled resident',good
'<0','existing paid',radio/tv,<5000,'<100','>=7','male single',adult,'unskilled resident',good
'no checking','critical/other existing credit',business,<5000,'<100','1<=X<4','female div/sep/mar',adult,'high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit',furniture/equipment,<5000,'<100','<1','female div/sep/mar',adult,skilled,good
'0<=X<200','existing paid',education,<100000,'100<=X<500','1<=X<4','male single',adult,skilled,bad
'<0','existing paid','new car',<5000,'100<=X<500','4<=X<7','male single',adult,'high qualif/self emp/mgmt',good
'<0','no credits/all paid',repairs,<5000,'<100','4<=X<7','male single',adult,skilled,bad
'no checking','critical/other existing credit',radio/tv,<1000,'<100','>=7','male single',adult,skilled,good
'<0','critical/other existing credit','used car',<5000,'<100','>=7','male single',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,<1000,'no known savings','>=7','female div/sep/mar',adult,'unskilled resident',bad
'>=200','critical/other existing credit',furniture/equipment,<5000,'no known savings','>=7','male single','young adult',skilled,good
'0<=X<200','existing paid','new car',<5000,'>=1000','>=7','male single',adult,skilled,good
'0<=X<200','no credits/all paid',business,<100000,'<100','<1','male single',adult,skilled,bad
'no checking','critical/other existing credit',education,<5000,'no known savings','4<=X<7','female div/sep/mar',senior,skilled,good
'0<=X<200','existing paid',business,<5000,'100<=X<500','1<=X<4','male single',adult,skilled,good
'0<=X<200','critical/other existing credit',radio/tv,<5000,'<100','>=7','male single',adult,skilled,good
'0<=X<200','delayed previously','used car',<10000,'no known savings','4<=X<7','male single',adult,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',<5000,'100<=X<500','>=7','male mar/wid',adult,'unskilled resident',good
'0<=X<200','existing paid',radio/tv,<5000,'<100','4<=X<7','male single',adult,skilled,good
'no checking','delayed previously',radio/tv,<1000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
'0<=X<200','critical/other existing credit',furniture/equipment,<5000,'<100','4<=X<7','male single',adult,skilled,good
'no checking','existing paid','used car',<5000,'no known savings','<1','male mar/wid',adult,skilled,good
'0<=X<200','critical/other existing credit',other,<100000,'<100','1<=X<4','male single',adult,'high qualif/self emp/mgmt',bad
'no checking','all paid','new car',<10000,'<100','>=7','male single',adult,'high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','new car',<10000,'<100','4<=X<7','male single',adult,skilled,good
'<0','existing paid',furniture/equipment,<10000,'no known savings','<1','female div/sep/mar',adult,skilled,good
'0<=X<200','existing paid',business,<5000,'500<=X<1000','>=7','male mar/wid',adult,skilled,good
'0<=X<200','delayed previously',business,<5000,'100<=X<500','>=7','male div/sep',adult,skilled,good
'>=200','existing paid',education,<1000,'<100','<1','female div/sep/mar',adult,skilled,good
'0<=X<200','existing paid','new car',<10000,'<100','4<=X<7','male single',adult,'unskilled resident',good
'no checking','critical/other existing credit','new car',<10000,'<100','1<=X<4','female div/sep/mar',adult,skilled,bad
'<0','existing paid',radio/tv,<5000,'500<=X<1000','>=7','male mar/wid',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,<5000,'no known savings','>=7','male single',adult,skilled,good
'<0','existing paid',radio/tv,<10000,'no known savings','4<=X<7','female div/sep/mar',adult,'high qualif/self emp/mgmt',bad
'<0','critical/other existing credit',furniture/equipment,<5000,'no known savings','<1','female div/sep/mar',adult,skilled,good
'<0','critical/other existing credit',furniture/equipment,<5000,'500<=X<1000','1<=X<4','female div/sep/mar',adult,skilled,bad
'0<=X<200','critical/other existing credit','new car',<5000,'500<=X<1000','4<=X<7','male div/sep',adult,'high qualif/self emp/mgmt',good
'<0','existing paid',radio/tv,<5000,'<100','1<=X<4','female div/sep/mar',adult,skilled,bad
'no checking','critical/other existing credit','used car',<5000,'<100','>=7','female div/sep/mar',adult,'high qualif/self emp/mgmt',good
'no checking','existing paid',furniture/equipment,<5000,'<100','1<=X<4','male single',adult,'unskilled resident',good
'>=200','critical/other existing credit','new car',<1000,'<100','>=7','male single',senior,skilled,good
'0<=X<200','existing paid',furniture/equipment,<5000,'no known savings','<1','female div/sep/mar',adult,skilled,bad
'<0','critical/other existing credit','new car',<5000,'<100','1<=X<4','male single',adult,skilled,good
'<0','existing paid',radio/tv,<1000,'<100','1<=X<4','male mar/wid',adult,'unskilled resident',good
'0<=X<200','existing paid',repairs,<1000,'<100','1<=X<4','male single',adult,skilled,bad
'0<=X<200','critical/other existing credit','used car',<5000,'<100',unemployed,'male single',adult,'high qualif/self emp/mgmt',good
'<0','critical/other existing credit','new car',<5000,'<100','1<=X<4','female div/sep/mar',adult,skilled,bad
'0<=X<200','existing paid','new car',<10000,'no known savings','4<=X<7','female div/sep/mar',adult,skilled,good
'<0','delayed previously',education,<10000,'<100','1<=X<4','male single',adult,skilled,bad
'no checking','existing paid',furniture/equipment,<5000,'<100','<1','male single',adult,'unskilled resident',good
'no checking','existing paid',furniture/equipment,<5000,'<100','1<=X<4','male single',adult,skilled,good
'no checking','existing paid',radio/tv,<100000,'100<=X<500','4<=X<7','female div/sep/mar',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,<5000,'no known savings','>=7','female div/sep/mar',adult,skilled,good
'no checking','delayed previously','used car',<10000,'>=1000','1<=X<4','male single',adult,skilled,good
'0<=X<200','existing paid',radio/tv,<1000,'500<=X<1000','1<=X<4','male single',senior,'unskilled resident',bad
'0<=X<200','critical/other existing credit',radio/tv,<5000,'no known savings','4<=X<7','male single',adult,skilled,good
'>=200','existing paid',radio/tv,<5000,'<100','1<=X<4','female div/sep/mar',adult,'unskilled resident',good
'>=200','existing paid','new car',<1000,'>=1000','<1','male mar/wid',adult,'unemp/unskilled non res',good
'0<=X<200','existing paid',radio/tv,<5000,'<100','<1','female div/sep/mar',adult,'high qualif/self emp/mgmt',good
'<0','existing paid',radio/tv,<5000,'<100','1<=X<4','male single',adult,'high qualif/self emp/mgmt',good
'<0','existing paid',furniture/equipment,<5000,'<100','1<=X<4','male single',adult,skilled,bad
'no checking','critical/other existing credit',furniture/equipment,<5000,'<100','<1','female div/sep/mar',adult,skilled,good
'0<=X<200','all paid',business,<5000,'100<=X<500','4<=X<7','male single',adult,skilled,good
'<0','critical/other existing credit','new car',<1000,'<100','>=7','female div/sep/mar',adult,skilled,good
'no checking','critical/other existing credit','new car',<1000,'100<=X<500','4<=X<7','female div/sep/mar',adult,skilled,good
'<0','critical/other existing credit',furniture/equipment,<10000,'<100','1<=X<4','male single',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,<5000,'>=1000','>=7','male single',adult,skilled,good
'no checking','existing paid',radio/tv,<5000,'100<=X<500','>=7','male single',adult,skilled,good
'no checking','existing paid',radio/tv,<5000,'<100','1<=X<4','male single',adult,skilled,good
'>=200','existing paid',radio/tv,<10000,'<100','1<=X<4','male single',adult,skilled,good
'0<=X<200','critical/other existing credit','used car',<10000,'>=1000','>=7','female div/sep/mar',adult,skilled,good
'0<=X<200','delayed previously',business,<10000,'100<=X<500','4<=X<7','male single',adult,'high qualif/self emp/mgmt',good
'<0','existing paid',furniture/equipment,<5000,'<100','1<=X<4','female div/sep/mar','young adult',skilled,bad
'<0','critical/other existing credit',repairs,<5000,'100<=X<500','>=7','male single',adult,skilled,good
'<0','all paid',retraining,<1000,'<100','>=7','male mar/wid',adult,'unskilled resident',good
'0<=X<200','existing paid','new car',<5000,'100<=X<500','4<=X<7','male single',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,<5000,'no known savings','1<=X<4','male single',adult,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,<5000,'100<=X<500','>=7','male single',adult,skilled,good
'no checking','critical/other existing credit','new car',<5000,'<100','<1','female div/sep/mar',adult,skilled,good
'no checking','existing paid','domestic appliance',<5000,'500<=X<1000','4<=X<7','male single',adult,skilled,good
'0<=X<200','existing paid','new car',<10000,'<100',unemployed,'male single',senior,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',<1000,'500<=X<1000','>=7','male single',adult,skilled,good
'no checking','existing paid',furniture/equipment,<5000,'500<=X<1000','1<=X<4','male single',adult,skilled,good
'<0','existing paid',furniture/equipment,<5000,'<100',unemployed,'female div/sep/mar',adult,skilled,bad
'0<=X<200','existing paid',furniture/equipment,<5000,'>=1000','<1','female div/sep/mar','young adult',skilled,good
'no checking','existing paid',furniture/equipment,<5000,'<100','4<=X<7','female div/sep/mar',adult,skilled,good
'0<=X<200','critical/other existing credit',business,<5000,'<100','>=7','male div/sep',adult,skilled,bad
'<0','no credits/all paid','new car',<1000,'<100','>=7','male single',adult,skilled,bad
'no checking','existing paid',furniture/equipment,<1000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
'0<=X<200','delayed previously',furniture/equipment,<5000,'<100',unemployed,'female div/sep/mar',adult,'high qualif/self emp/mgmt',bad
'0<=X<200','existing paid',radio/tv,<5000,'<100','1<=X<4','male single',adult,skilled,good
'<0','delayed previously',education,<5000,'<100','<1','male single',adult,skilled,bad
'no checking','all paid','used car',<10000,'no known savings',unemployed,'female div/sep/mar',adult,'high qualif/self emp/mgmt',bad
'<0','existing paid',furniture/equipment,<5000,'<100','1<=X<4','male div/sep',adult,skilled,good
'<0','critical/other existing credit',radio/tv,<1000,'500<=X<1000','>=7','male single',adult,skilled,good
'no checking','existing paid',radio/tv,<5000,'<100','4<=X<7','male single',adult,'high qualif/self emp/mgmt',good
'<0','critical/other existing credit','new car',<1000,'<100','>=7','male single',senior,skilled,good
'no checking','delayed previously',business,<10000,'<100','<1','male div/sep',adult,skilled,bad
'0<=X<200','delayed previously',business,<5000,'<100','1<=X<4','male div/sep',adult,'high qualif/self emp/mgmt',bad
'<0','all paid','new car',<5000,'no known savings','1<=X<4','male single',adult,'unskilled resident',bad
'no checking','critical/other existing credit',furniture/equipment,<5000,'>=1000','1<=X<4','male single',adult,skilled,good
'0<=X<200','critical/other existing credit','new car',<1000,'<100','>=7','male single',adult,skilled,bad
'no checking','critical/other existing credit',radio/tv,<5000,'<100','1<=X<4','male single',adult,skilled,good
'0<=X<200','all paid','used car',<10000,'<100','>=7','female div/sep/mar',senior,'high qualif/self emp/mgmt',bad
'0<=X<200','critical/other existing credit','new car',<5000,'<100',unemployed,'male single',senior,'unemp/unskilled non res',good
'<0','existing paid',radio/tv,<1000,'100<=X<500','4<=X<7','male mar/wid','young adult',skilled,bad
'0<=X<200','no credits/all paid',furniture/equipment,<5000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
'no checking','existing paid',business,<5000,'>=1000','1<=X<4','male single',adult,'high qualif/self emp/mgmt',bad
'0<=X<200','no credits/all paid',business,<5000,'100<=X<500','4<=X<7','male single',adult,'unskilled resident',bad
'0<=X<200','existing paid',business,<5000,'<100','1<=X<4','male single',adult,skilled,bad
'no checking','existing paid',radio/tv,<5000,'<100','4<=X<7','male mar/wid',adult,skilled,good
'0<=X<200','existing paid',radio/tv,<5000,'100<=X<500','1<=X<4','male single',adult,skilled,bad
'0<=X<200','critical/other existing credit',education,<5000,'<100','>=7','female div/sep/mar',adult,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,<5000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
'0<=X<200','existing paid',furniture/equipment,<1000,'100<=X<500','<1','female div/sep/mar',adult,skilled,bad
'0<=X<200','existing paid','used car',<5000,'no known savings','>=7','male single',adult,skilled,good
'0<=X<200','delayed previously',furniture/equipment,<5000,'<100','>=7','male div/sep',adult,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',education,<1000,'500<=X<1000','>=7','male single',adult,skilled,good
'<0','existing paid','new car',<5000,'<100','1<=X<4','male mar/wid',adult,'unskilled resident',good
'no checking','delayed previously',business,<10000,'<100','4<=X<7','male single',adult,skilled,good
'<0','existing paid',retraining,<1000,'<100','4<=X<7','male mar/wid',adult,skilled,bad
'no checking','critical/other existing credit','new car',<5000,'<100','>=7','male single',adult,'unskilled resident',good
'<0','critical/other existing credit','used car',<100000,'<100','>=7','male single',adult,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',furniture/equipment,<5000,'<100','>=7','male single',adult,skilled,good
'0<=X<200','critical/other existing credit','domestic appliance',<5000,'<100','4<=X<7','male single',adult,skilled,good
'<0','existing paid',business,<10000,'<100','1<=X<4','male mar/wid',adult,'unskilled resident',good
'no checking','existing paid','used car',<5000,'>=1000','4<=X<7','male single',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,<5000,'no known savings','1<=X<4','male single',adult,skilled,good
'no checking','existing paid',radio/tv,<5000,'no known savings','>=7','female div/sep/mar',adult,'unskilled resident',good
'<0','no credits/all paid',business,<10000,'<100',unemployed,'male single',adult,skilled,bad
'>=200','delayed previously',business,<5000,'<100','>=7','male single',senior,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,<5000,'no known savings','>=7','male single',adult,skilled,good
'0<=X<200','critical/other existing credit',retraining,<1000,'no known savings','4<=X<7','female div/sep/mar',adult,'unskilled resident',good
'<0','no credits/all paid',business,<5000,'<100','4<=X<7','male single',adult,skilled,good
'>=200','existing paid',radio/tv,<5000,'<100','1<=X<4','male single',adult,skilled,good
'<0','existing paid',furniture/equipment,<5000,'<100','1<=X<4','male div/sep',adult,'unskilled resident',good
'no checking','existing paid','new car',<5000,'<100','1<=X<4','female div/sep/mar',senior,skilled,good
'0<=X<200','existing paid',radio/tv,<1000,'<100','<1','male mar/wid',adult,'unskilled resident',good
'<0','existing paid',education,<5000,'no known savings','1<=X<4','female div/sep/mar',adult,skilled,good
'no checking','existing paid',radio/tv,<1000,'<100','1<=X<4','male single',adult,skilled,good
'no checking','delayed previously',business,<5000,'no known savings','1<=X<4','male single',adult,skilled,good
'no checking','existing paid','used car',<5000,'<100','1<=X<4','male single',adult,skilled,good
'no checking','no credits/all paid',repairs,<5000,'<100','1<=X<4','male single',adult,skilled,good
'0<=X<200','existing paid',radio/tv,<100000,'>=1000','4<=X<7','male single',adult,skilled,bad
'<0','existing paid',furniture/equipment,<10000,'<100','>=7','male single',adult,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,<5000,'<100','4<=X<7','male single',adult,skilled,bad
'<0','existing paid',furniture/equipment,<5000,'<100','<1','male single',adult,skilled,good
'>=200','existing paid',radio/tv,<5000,'<100','1<=X<4','male single',adult,skilled,bad
'no checking','existing paid','new car',<5000,'500<=X<1000','>=7','male single',adult,'unskilled resident',good
'no checking','existing paid',radio/tv,<5000,'100<=X<500','4<=X<7','male single',adult,skilled,good
'0<=X<200','existing paid',radio/tv,<1000,'<100','1<=X<4','male mar/wid',adult,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,<5000,'<100','4<=X<7','male single',adult,'unskilled resident',good
'<0','existing paid',radio/tv,<5000,'<100',unemployed,'male single',adult,'high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','new car',<100000,'no known savings',unemployed,'male single',adult,'unemp/unskilled non res',bad
'0<=X<200','existing paid',business,<5000,'100<=X<500','>=7','male div/sep',senior,'unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,<5000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
'<0','existing paid',radio/tv,<5000,'<100','>=7','male single',adult,skilled,good
'<0','existing paid','new car',<1000,'no known savings','>=7','female div/sep/mar',adult,skilled,bad
'no checking','existing paid',radio/tv,<5000,'<100','4<=X<7','male single',adult,skilled,good
'<0','no credits/all paid','used car',<5000,'<100','>=7','male single',adult,skilled,bad
'no checking','critical/other existing credit',business,<5000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
'no checking','all paid',retraining,<5000,'500<=X<1000','1<=X<4','female div/sep/mar',adult,'unskilled resident',good
'no checking','existing paid',business,<5000,'<100','4<=X<7','male single',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,<1000,'<100','>=7','male single',adult,skilled,good
'no checking','no credits/all paid','new car',<5000,'100<=X<500','1<=X<4','male single',adult,skilled,good
'>=200','existing paid',furniture/equipment,<5000,'<100','1<=X<4','male single',adult,skilled,good
'no checking','existing paid',radio/tv,<1000,'<100',unemployed,'female div/sep/mar',adult,skilled,bad
'<0','critical/other existing credit','new car',<1000,'>=1000','4<=X<7','female div/sep/mar',adult,'unskilled resident',good
'>=200','existing paid',furniture/equipment,<5000,'<100','1<=X<4','female div/sep/mar',adult,'unskilled resident',good
'0<=X<200','existing paid','new car',<5000,'<100','1<=X<4','female div/sep/mar',adult,skilled,bad
'no checking','delayed previously',furniture/equipment,<5000,'100<=X<500','1<=X<4','male single',adult,skilled,good
'0<=X<200','existing paid',furniture/equipment,<5000,'no known savings','4<=X<7','male single',adult,skilled,good
'0<=X<200','delayed previously',radio/tv,<10000,'no known savings','1<=X<4','male single',adult,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,<5000,'<100','1<=X<4','male single',adult,'unskilled resident',good
'<0','all paid',radio/tv,<5000,'<100','1<=X<4','male div/sep',adult,skilled,bad
'no checking','existing paid','used car',<5000,'100<=X<500','<1','female div/sep/mar',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,<5000,'100<=X<500',unemployed,'female div/sep/mar',adult,'unskilled resident',good
'<0','existing paid',furniture/equipment,<5000,'<100','1<=X<4','male single',adult,skilled,good
'<0','existing paid',radio/tv,<5000,'<100','>=7','female div/sep/mar',adult,skilled,good
'<0','critical/other existing credit','new car',<10000,'<100','>=7','male single',adult,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',education,<5000,'<100','>=7','female div/sep/mar',adult,'unskilled resident',good
'no checking','critical/other existing credit','new car',<5000,'<100','>=7','male single',adult,'unskilled resident',good
'0<=X<200','existing paid',radio/tv,<1000,'<100','>=7','male single',adult,skilled,bad
'no checking','critical/other existing credit',business,<10000,'no known savings','>=7','male single',adult,skilled,good
'no checking','existing paid',radio/tv,<5000,'<100','<1','female div/sep/mar',adult,skilled,good
'<0','existing paid','new car',<10000,'<100','>=7','male div/sep',adult,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,<1000,'no known savings','>=7','male single',adult,skilled,good
'no checking','existing paid','new car',<5000,'no known savings','4<=X<7','male single',adult,skilled,good
